date,region,product_category,sales,revenue,units_sold,customer_segment
2024-01-05,North,Electronics,12500.50,15600.75,42,Enterprise
2024-01-12,South,Clothing,3200.00,4100.25,85,Retail
2024-01-18,East,Electronics,8900.00,11200.00,31,Enterprise
2024-01-22,West,Home,4500.75,5200.50,28,Retail
2024-02-03,North,Clothing,2800.00,3500.00,72,Retail
2024-02-10,South,Electronics,15200.00,18900.25,55,Enterprise
2024-02-15,East,Home,3900.50,4600.00,24,Retail
2024-02-20,West,Clothing,4100.25,5100.75,91,Retail
2024-03-01,North,Electronics,16800.00,21000.50,62,Enterprise
2024-03-08,South,Home,5200.00,6100.00,33,Retail
2024-03-14,East,Clothing,3600.75,4400.25,78,Retail
2024-03-21,West,Electronics,13400.50,16700.00,48,Enterprise
2024-04-02,North,Home,4800.00,5600.50,29,Retail
2024-04-09,South,Clothing,2900.25,3700.00,68,Retail
2024-04-16,East,Electronics,14100.00,17500.75,51,Enterprise
2024-04-23,West,Home,5500.50,6400.00,35,Retail
2024-05-01,North,Clothing,3300.00,4200.25,80,Retail
2024-05-08,South,Electronics,17200.75,21500.00,64,Enterprise
2024-05-15,East,Home,4200.00,4900.50,26,Retail
2024-05-22,West,Clothing,3800.50,4700.00,75,Retail
2024-06-03,North,Electronics,18500.00,23000.25,70,Enterprise
2024-06-10,South,Home,4900.25,5800.00,30,Retail
2024-06-17,East,Clothing,3100.00,3900.75,69,Retail
2024-06-24,West,Electronics,15800.50,19600.00,58,Enterprise
2024-07-01,North,Home,5100.00,6000.50,32,Retail
2024-07-08,South,Clothing,3400.75,4300.00,82,Retail
2024-07-15,East,Electronics,19200.00,24000.75,73,Enterprise
2024-07-22,West,Home,4600.50,5400.00,27,Retail
2024-08-05,North,Clothing,3700.00,4600.25,77,Retail
2024-08-12,South,Electronics,20100.25,25000.00,76,Enterprise
2024-08-19,East,Home,5300.00,6200.50,34,Retail
2024-08-26,West,Clothing,4000.50,5000.00,88,Retail
2024-09-02,North,Electronics,21500.00,26800.75,81,Enterprise
2024-09-09,South,Home,5600.25,6600.00,36,Retail
2024-09-16,East,Clothing,3500.00,4400.50,71,Retail
2024-09-23,West,Electronics,17800.50,22100.00,65,Enterprise
2024-10-01,North,Home,5800.00,6800.25,38,Retail
2024-10-08,South,Clothing,3900.75,4900.00,84,Retail
2024-10-15,East,Electronics,22800.00,28500.50,86,Enterprise
2024-10-22,West,Home,4900.50,5700.00,29,Retail
2024-11-05,North,Clothing,4200.00,5200.75,90,Retail
2024-11-12,South,Electronics,24500.25,30500.00,92,Enterprise
2024-11-19,East,Home,6100.00,7200.50,40,Retail
2024-11-26,West,Clothing,4100.50,5100.00,79,Retail
2024-12-03,North,Electronics,26200.00,32700.75,98,Enterprise
2024-12-10,South,Home,6400.25,7500.00,42,Retail
2024-12-17,East,Clothing,4400.00,5500.50,95,Retail
2024-12-24,West,Electronics,25100.50,31200.00,94,Enterprise
